Standard_Number,Description,Label,Catalog,Edition_Date,Type,English?,Category,Topic,Keyword1,Keyword2,Keyword3,Keyword4,Keyword5
299,Dry Chemical Fire Extinguishers,Ed. 11,UL,"April 13, 2012",ululc,True,,Dry Chemical Fire Extinguishers,Dry Chemical Fire Extinguishers,Chemical Fire Extinguishers,Dry Chemical Fire,Fire Extinguishers,Chemical Fire
299,Dry Chemical Fire Extinguishers,Ed. 12,UL,"September 25, 2015",,True,,Dry Chemical Fire Extinguishers,Dry Chemical Fire Extinguishers,Chemical Fire Extinguishers,Dry Chemical Fire,Fire Extinguishers,Chemical Fire
299A,Outline of Investigation for Portable Dry Chemical Extinguishing System Units,Ed. 3,UL,"November 21, 2006",outline,True,Outline,Investigation for Portable Dry Chemical Extinguishing System Units,Dry Chemical Extinguishing System Units,Portable Dry Chemical Extinguishing System,Chemical Extinguishing System Units,Portable Dry Chemical Extinguishing,Dry Chemical Extinguishing System
299C,Outline of Investigation for Fire Extinguishing Dry Chemical for Special Applications,Ed. 3,UL,"May 06, 2016",outline,True,Outline,Investigation for Fire Extinguishing Dry Chemical for Special Applications,Dry Chemical for Special Applications,Fire Extinguishing Dry Chemical,Extinguishing Dry Chemical for Special,Investigation for Fire Extinguishing Dry,Chemical for Special Applications
299D,Outline of Investigation for Dry Chemical Fire Extinguishers for Residential Cooking Equipment,Ed. 1,UL,"July 09, 2010",outline,True,Outline,Investigation for Dry Chemical Fire Extinguishers for Residential Cooking Equipment,Extinguishers for Residential Cooking Equipment,Dry Chemical Fire Extinguishers,Chemical Fire Extinguishers for Residential,Fire Extinguishers for Residential Cooking,Investigation for Dry Chemical Fire
300,Fire Testing of Fire Extinguishing Systems for Protection of Commercial Cooking Equipment / Norme Sur La Mise À L'Essai De Systèmes D'Extinction D'Incendie Conçus Pour La Protection D'Équipement De Cuisson Commercial,Ed. 4,UL,"June 10, 2019",ulcanada,False,Fire Test,Fire Extinguishing Systems for Protection of Commercial Cooking Equipment,Protection of Commercial Cooking Equipment,Fire Extinguishing Systems for Protection,Commercial Cooking Equipment,Extinguishing Systems for Protection,Systems for Protection of Commercial
300,Fire Testing of Fire Extinguishing Systems for Protection of Commercial Cooking Equipment / Norme Sur La Mise À L'Essai De Systèmes D'Extinction D'Incendie Conçus Pour La Protection D'Équipement De Cuisson Commercial,Ed. 4,ULC,"June 10, 2019",ulc,False,Fire Test,Fire Extinguishing Systems for Protection of Commercial Cooking Equipment,Protection of Commercial Cooking Equipment,Fire Extinguishing Systems for Protection,Commercial Cooking Equipment,Extinguishing Systems for Protection,Systems for Protection of Commercial
300A,Extinguishing System Units for Residential Range Top Cooking Surfaces,Ed. 3,UL,"November 21, 2006",outline,True,,Extinguishing System Units for Residential Range Top Cooking Surfaces,Residential Range Top Cooking Surfaces,Range Top Cooking Surfaces,System Units for Residential Range,Units for Residential Range Top,Residential Range Top Cooking
301,Standard for Signal Receiving Centres Configurations And Operations / Norme Sur La Configuration Et L'Exploitation De Centrales De Réception D'Alarme,Ed. 3,ULC,"August 01, 2018",canulc,False,Standard,Signal Receiving Centres Configurations And Operations,Receiving Centres Configurations And Operations,Signal Receiving Centres Configurations,Centres Configurations And Operations,Receiving Centres Configurations,Signal Receiving Centres
302,"Standard for The Installation, Inspection And Testing of Intrusion Alarm Systems / Norme Sur L'Installation, L'Inspection Et La Mise À L'Essai Des Systèmes D'Alarme Anti-Intrusion",Ed. 2,ULC,"October 01, 2014",canulc,False,Standard,"The Installation, Inspection And Testing of Intrusion Alarm Systems",Testing of Intrusion Alarm Systems,Inspection And Testing of Intrusion,Intrusion Alarm Systems,Testing of Intrusion Alarm,Inspection And Testing
304,"Standard for Control Units, Accessories And Receiving Equipment for Intrusion Alarm Systems / Norme Sur Les Postes De Contrôle, Les Accessoires Et L'Équipement De Réception Pour Les Systèmes D'Alarme Anti-Intrusion",Ed. 3,ULC,"April 01, 2016",canulc,False,Standard,"Control Units, Accessories And Receiving Equipment for Intrusion Alarm Systems",Equipment for Intrusion Alarm Systems,Receiving Equipment for Intrusion Alarm,Accessories And Receiving Equipment,Intrusion Alarm Systems,Receiving Equipment for Intrusion
305,Standard for Panic Hardware,Ed. 6,UL,"July 12, 2012",ulstd,True,Standard,Panic Hardware,Panic Hardware,Hardware,Panic,,
306,Standard for Intrusion Detection Units / Norme Sur Les Détecteurs D'Intrusion,Ed. 3,ULC,"August 06, 2020",canulc,False,Standard,Intrusion Detection Units,Intrusion Detection Units,Detection Units,Intrusion Detection,Units,Detection
307A,Standard for Liquid Fuel-Burning Heating Appliances for Manufactured Homes And Recreational Vehicles,Ed. 9,UL,"July 24, 2018",ulstd,True,Standard,Liquid Fuel-Burning Heating Appliances for Manufactured Homes And Recreational Vehicles,Manufactured Homes And Recreational Vehicles,Heating Appliances for Manufactured Homes,Fuel-Burning Heating Appliances for Manufactured,Liquid Fuel-Burning Heating Appliances,Homes And Recreational Vehicles
307B,Standard for Gas-Burning Heating Appliances for Manufactured Homes And Recreational Vehicles,Ed. 5,UL,"October 31, 2006",ulstd,True,Standard,Gas-Burning Heating Appliances for Manufactured Homes And Recreational Vehicles,Manufactured Homes And Recreational Vehicles,Heating Appliances for Manufactured Homes,Gas-Burning Heating Appliances for Manufactured,Homes And Recreational Vehicles,Heating Appliances for Manufactured
308,Subject for Power Distribution Units,Ed. 1,UL,"February 25, 2000",,True,,Subject for Power Distribution Units,Subject for Power Distribution Units,Power Distribution Units,Subject for Power Distribution,Distribution Units,Power Distribution
310,Electrical Quick-Connect Terminals,Ed. 9,UL,"October 17, 2014",ulcsa,True,,Electrical Quick-Connect Terminals,Electrical Quick-Connect Terminals,Quick-Connect Terminals,Electrical Quick-Connect,Terminals,Electrical
312,Ansi/Can/Ul/Ulc Check Valves for Fire-Protection Service / Clapets Antiretour Pour Service De Protection Contre Les Incendies,Ed. 11,UL,"June 02, 2022",ulstd,True,,Ansi/Can/Ul/Ulc Check Valves for Fire-Protection Service / Clapets Antiretour Pour Service De Protection Contre Les Incendies,Protection Contre Les Incendies,Clapets Antiretour Pour Service,Ulc Check Valves for Fire-Protection,Check Valves for Fire-Protection Service,Antiretour Pour Service De Protection
312,Ansi/Can/Ul/Ulc Standard for Check Valves for Fire-Protection Service / Clapets Antiretour Pour Service De Protection Contre Les Incendies,Ed. 11,ULC,"June 02, 2022",canulc,True,Ansi/Can/Ul/Ulc Standard,Check Valves for Fire-Protection Service / Clapets Antiretour Pour Service De Protection Contre Les Incendies,Protection Contre Les Incendies,Clapets Antiretour Pour Service,Service De Protection Contre Les,Antiretour Pour Service De Protection,Pour Service De Protection Contre
316,Standard for Performance of Video Surveillance Systems / Normes Sur La Performance Des Systèmes De Surveillance Vidéo,Ed. 1,ULC,"December 01, 2014",canulc,False,Standard,Performance of Video Surveillance Systems,Performance of Video Surveillance Systems,Video Surveillance Systems,Performance of Video Surveillance,Surveillance Systems,Video Surveillance
317,Standard for Installation And Classification of Closed Circuit Video Equipment (Ccve) Systems for Institutional And Commercial Security Applications,Ed. 1,ULC,"June 08, 2015",,True,Standard,Installation And Classification of Closed Circuit Video Equipment (Ccve) Systems for Institutional And Commercial Security Applications,Closed Circuit Video Equipment,Institutional And Commercial Security Applications,Classification of Closed Circuit Video,Circuit Video Equipment,Systems for Institutional And Commercial
318,Standard for Power Supplies for Burglar Alarm Systems,Ed. 1,ULC,"May 01, 1996",,True,Standard,Power Supplies for Burglar Alarm Systems,Supplies for Burglar Alarm Systems,Power Supplies for Burglar Alarm,Burglar Alarm Systems,Supplies for Burglar Alarm,Power Supplies for Burglar
319,Electronic Access Control Systems / Systèmes Électroniques De Contrôle D’Accès,Ed. 1,ULC,"September 01, 2005",,False,,Electronic Access Control Systems,Electronic Access Control Systems,Access Control Systems,Electronic Access Control,Control Systems,Access Control
321,Outline of Investigation for Pipeline Strainers,Ed. 3,UL,"November 15, 2006",outline,True,Outline,Investigation for Pipeline Strainers,Investigation for Pipeline Strainers,Pipeline Strainers,Investigation for Pipeline,Strainers,Pipeline
321,Standard for Burglary Resistant Vault Doors And Modular Panels / Portes Et Panneaux Modulaires Antivol Des Chambres Fortes,Ed. 1,ULC,"May 01, 1991",,True,Standard,Burglary Resistant Vault Doors And Modular Panels / Portes Et Panneaux Modulaires Antivol Des Chambres Fortes,Modulaires Antivol Des Chambres Fortes,Panneaux Modulaires Antivol Des Chambres,Vault Doors And Modular Panels,Portes Et Panneaux Modulaires Antivol,Antivol Des Chambres Fortes
322,Vault Ventilators And Vault Ventilatating,Ed. 1,ULC,"September 01, 1992",,True,,Vault Ventilators And Vault Ventilatating,Vault Ventilators And Vault Ventilatating,Ventilators And Vault Ventilatating,Vault Ventilators And Vault,Vault Ventilatating,Vault Ventilators
324,Burglary Resistant Safes,Ed. 1,ULC,"October 01, 1993",,True,,Burglary Resistant Safes,Burglary Resistant Safes,Resistant Safes,Burglary Resistant,Safes,Resistant
325,"Door, Drapery, Gate, Louver, And Window Operators And Systems / Dispositifs D'Ouverture Et Systèmes De Porte, De Tenture, De Barrière, De Persienne Et De Fenêtre",Ed. 7,UL,"May 19, 2017",ulstd,False,,"Door, Drapery, Gate, Louver, And Window Operators And Systems",Window Operators And Systems,Operators And Systems,Window Operators,Drapery,Gate
327,Outline of Investigation for Turbine Type Flow Meters for Fire Protection Systems,Ed. 5,UL,"January 25, 2011",outline,True,Outline,Investigation for Turbine Type Flow Meters for Fire Protection Systems,Meters for Fire Protection Systems,Turbine Type Flow Meters,Type Flow Meters for Fire,Flow Meters for Fire Protection,Investigation for Turbine Type Flow
327,Burglar Resistant Combination Locks,Ed. 1,ULC,"May 01, 1998",,True,,Burglar Resistant Combination Locks,Burglar Resistant Combination Locks,Resistant Combination Locks,Burglar Resistant Combination,Combination Locks,Resistant Combination
327A,Outline of Investigation for Inferential Type Residential Water Flow Meters,Ed. 3,UL,"February 22, 2008",outline,True,Outline,Investigation for Inferential Type Residential Water Flow Meters,Type Residential Water Flow Meters,Inferential Type Residential Water Flow,Residential Water Flow Meters,Inferential Type Residential Water,Type Residential Water Flow
327B,Outline of Investigation for Ultrasonic And Magnetic Type Water Flow Meters,Ed. 3,UL,"May 13, 2011",outline,True,Outline,Investigation for Ultrasonic And Magnetic Type Water Flow Meters,Magnetic Type Water Flow Meters,Type Water Flow Meters,Ultrasonic And Magnetic Type Water,Magnetic Type Water Flow,Water Flow Meters
328,Outline of Investigation for Gasoline Torches,Ed. 3,UL,"February 05, 2014",outline,True,Outline,Investigation for Gasoline Torches,Investigation for Gasoline Torches,Gasoline Torches,Investigation for Gasoline,Torches,Gasoline
328,Burglary Resistant Key Locks,Ed. 1,ULC,"May 01, 1998",,True,,Burglary Resistant Key Locks,Burglary Resistant Key Locks,Resistant Key Locks,Burglary Resistant Key,Key Locks,Resistant Key
330,Ansi/Can/Ul Standard for Hose And Hose Assemblies for Dispensing Flammable And Combustible Liquids / Tuyaux Flexibles Et Tuyaux Flexibles À Raccords Pour Liquides Inflammables Et Combustibles,Ed. 9,UL,"February 11, 2021",ulstd,False,Ansi/Can/Ul Standard,Hose And Hose Assemblies for Dispensing Flammable And Combustible Liquids,Dispensing Flammable And Combustible Liquids,Hose Assemblies for Dispensing Flammable,Flammable And Combustible Liquids,Assemblies for Dispensing Flammable,Dispensing Flammable And Combustible
330,Burglary-Resistant Night Depositories,Ed. 1,ULC,"August 01, 1993",,True,,Burglary-Resistant Night Depositories,Burglary-Resistant Night Depositories,Night Depositories,Burglary-Resistant Night,Depositories,Night
330A,Hose And Hose Assemblies for Use With Dispensing Devices Dispensing Gasoline And Gasoline/Ethanol Blends With Nominal Ethanol Concentrations Up To 85 Percent (E0 - E85),Ed. 1,UL,"November 05, 2019",ulstd,True,,Hose And Hose Assemblies for Use With Dispensing Devices Dispensing Gasoline And Gasoline/Ethanol Blends With Nominal Ethanol Concentrations Up To 85 Percent (E0 - E85),Blends With Nominal Ethanol Concentrations,Ethanol Blends With Nominal Ethanol,Dispensing Devices Dispensing Gasoline,Devices Dispensing Gasoline And Gasoline,Ethanol Blends With Nominal
330B,"Hose And Hose Assemblies for Use With Dispensing Devices Dispensing Diesel Fuel, Biodiesel Fuel, Diesel/Biodiesel Blends With Nominal Biodiesel Concentrations Up To 20 Percent (B20), Kerosene, And Fuel Oil",Ed. 1,UL,"December 18, 2015",ulstd,True,,"Hose And Hose Assemblies for Use With Dispensing Devices Dispensing Diesel Fuel, Biodiesel Fuel, Diesel/Biodiesel Blends With Nominal Biodiesel Concentrations Up To 20 Percent (B20), Kerosene, And Fuel Oil",Dispensing Devices Dispensing Diesel Fuel,Blends With Nominal Biodiesel Concentrations,Dispensing Devices Dispensing Diesel,Biodiesel Blends With Nominal Biodiesel,Devices Dispensing Diesel Fuel
331,"Strainers for Flammable And Combustible Liquids, Anhydrous Ammonia And Non-Potable Water / Crépines Pour Liquides Inflammables Et Combustibles, Ammoniac Et Eau Non Potable",Ed. 9,UL,"February 22, 2023",ululcanada,False,,"Strainers for Flammable And Combustible Liquids, Anhydrous Ammonia And Non-Potable Water",Anhydrous Ammonia And Non-Potable Water,Flammable And Combustible Liquids,Strainers for Flammable And Combustible,Anhydrous Ammonia And Non-Potable,Ammonia And Non-Potable Water
331,Guide for The Investigation of Strainers for Flammable Fluids And Anhydrous Ammonia,Ed. 1,ULC,"April 01, 1975",,True,Guide,The Investigation of Strainers for Flammable Fluids And Anhydrous Ammonia,Flammable Fluids And Anhydrous Ammonia,Fluids And Anhydrous Ammonia,Investigation of Strainers for Flammable,Strainers for Flammable Fluids,Flammable Fluids And Anhydrous
331A,Standard for Strainers for Gasoline And Gasoline/Ethanol Blends With Nominal Ethanol Concentrations Up To 85 Percent (E0 - E85),Ed. 1,UL,"February 06, 2015",ulstd,True,Standard,Strainers for Gasoline And Gasoline/Ethanol Blends With Nominal Ethanol Concentrations Up To 85 Percent (E0 - E85),Blends With Nominal Ethanol Concentrations,Ethanol Blends With Nominal Ethanol,Ethanol Blends With Nominal,Blends With Nominal Ethanol,Nominal Ethanol Concentrations
331B,"Strainers for Diesel Fuel, Biodiesel Fuel, Diesel/Biodiesel Blends With Nominal Biodiesel Concentrations Up To 20 Percent (B20), Kerosene, And Fuel Oil",Ed. 1,UL,"February 05, 2015",ulstd,True,,"Strainers for Diesel Fuel, Biodiesel Fuel, Diesel/Biodiesel Blends With Nominal Biodiesel Concentrations Up To 20 Percent (B20), Kerosene, And Fuel Oil",Blends With Nominal Biodiesel Concentrations,Biodiesel Blends With Nominal Biodiesel,Biodiesel Blends With Nominal,Blends With Nominal Biodiesel,Nominal Biodiesel Concentrations
331C,Outline of Investigation for Fuel Filtration Units,Ed. 2,UL,"February 12, 2021",outline,True,Outline,Investigation for Fuel Filtration Units,Investigation for Fuel Filtration Units,Fuel Filtration Units,Investigation for Fuel Filtration,Filtration Units,Fuel Filtration
332,Standard for Burglary Resistant Glazing Material,Ed. 1,ULC,"September 01, 1993",,True,Standard,Burglary Resistant Glazing Material,Burglary Resistant Glazing Material,Resistant Glazing Material,Burglary Resistant Glazing,Glazing Material,Resistant Glazing
334,Outline of Investigation for Theater Lighting Distribution And Control Equipment,Ed. 2,UL,"February 28, 2022",outline,True,Outline,Investigation for Theater Lighting Distribution And Control Equipment,Lighting Distribution And Control Equipment,Theater Lighting Distribution And Control,Investigation for Theater Lighting Distribution,Distribution And Control Equipment,Theater Lighting Distribution
334,Burglary Resistant Electronic Combination Locks,Ed. 1,ULC,"May 01, 1998",,True,,Burglary Resistant Electronic Combination Locks,Burglary Resistant Electronic Combination Locks,Resistant Electronic Combination Locks,Burglary Resistant Electronic Combination,Electronic Combination Locks,Resistant Electronic Combination
335K,"Household And Similar Electrical Appliances - Safety - Part 2-72: Particular Requirements for Floor Treatment Machines With Or Without Traction Drive, for Commercial Use",Ed. 1,UL,"May 26, 2017",,True,,"Household And Similar Electrical Appliances - Safety - Part 2-72: Particular Requirements for Floor Treatment Machines With Or Without Traction Drive, for Commercial Use",Household And Similar Electrical Appliances,Requirements for Floor Treatment Machines,Similar Electrical Appliances,Requirements for Floor Treatment,Floor Treatment Machines
337,Delayed-Action Timelocks,Ed. 1,ULC,"May 01, 1998",,True,,Delayed-Action Timelocks,Delayed-Action Timelocks,Timelocks,Delayed-Action,,
338,Standard for Automobile Theft Deterrent Equipment And Systems: Electronic Immobilization / Norme Sur Les Systèmes Et Les Appareillages De Prévention Du Vol De Véhicules Automobiles : Immobilisation Électronique,Ed. 1,ULC,"May 01, 1998",canulc,False,Standard,Automobile Theft Deterrent Equipment And Systems: Electronic Immobilization,Theft Deterrent Equipment And Systems,Automobile Theft Deterrent Equipment,Deterrent Equipment And Systems,Theft Deterrent Equipment,Automobile Theft Deterrent
340,Standard for Tests for Comparative Flammability of Liquids,Ed. 6,UL,"July 24, 2017",ulstd,True,Standard for Test,Comparative Flammability of Liquids,Comparative Flammability of Liquids,Flammability of Liquids,Comparative Flammability,Liquids,Flammability
343,Standard for Pumps for Oil-Burning Appliances,Ed. 9,UL,"December 17, 2008",ulstd,True,Standard,Pumps for Oil-Burning Appliances,Pumps for Oil-Burning Appliances,Oil-Burning Appliances,Pumps for Oil-Burning,Appliances,Pumps
343,Guide for The Investigation of Pumps for Oil-Burning Appliances,Ed. 1,ULC,"September 01, 2004",,True,Guide,The Investigation of Pumps for Oil-Burning Appliances,Pumps for Oil-Burning Appliances,Investigation of Pumps for Oil-Burning,Investigation of Pumps,Oil-Burning Appliances,Pumps for Oil-Burning
346,Standard for Waterflow Indicators for Fire Protective Signaling Systems,Ed. 5,UL,"June 30, 2005",ulstd,True,Standard,Waterflow Indicators for Fire Protective Signaling Systems,Fire Protective Signaling Systems,Indicators for Fire Protective Signaling,Waterflow Indicators for Fire Protective,Protective Signaling Systems,Indicators for Fire Protective
347,"Medium-Voltage Ac Contactors, Controllers, And Control Centers",Ed. 7,UL,"November 23, 2020",ulcsance,True,,"Medium-Voltage Ac Contactors, Controllers, And Control Centers",Control Centers,Medium-Voltage Ac Contactors,Controllers,Contactors,Centers
347A,Medium Voltage Power Conversion Equipment,Ed. 2,UL,"January 05, 2021",ulstd,True,,Medium Voltage Power Conversion Equipment,Medium Voltage Power Conversion Equipment,Voltage Power Conversion Equipment,Medium Voltage Power Conversion,Power Conversion Equipment,Voltage Power Conversion
347B,"Outline for Medium Voltage Motor Controllers, Up To 15Kv",Ed. 1,UL,"June 20, 2005",outline,True,Outline,"Medium Voltage Motor Controllers, Up To 15Kv",Medium Voltage Motor Controllers,Voltage Motor Controllers,Medium Voltage Motor,Motor Controllers,Voltage Motor
347C,"Outline of Investigation for Medium Voltage Solid State Resistive Load Controllers, Up To 15Kv",Ed. 1,UL,"May 22, 2014",outline,True,Outline,"Investigation for Medium Voltage Solid State Resistive Load Controllers, Up To 15Kv",Solid State Resistive Load Controllers,Medium Voltage Solid State Resistive,Voltage Solid State Resistive Load,State Resistive Load Controllers,Medium Voltage Solid State
347D,"Outline for Medium Voltage Stator Switching Assemblies for Wind Applications, Up To 15Kv",Ed. 1,UL,"August 30, 2017",outline,True,Outline,"Medium Voltage Stator Switching Assemblies for Wind Applications, Up To 15Kv",Medium Voltage Stator Switching Assemblies,Switching Assemblies for Wind Applications,Voltage Stator Switching Assemblies,Stator Switching Assemblies for Wind,Medium Voltage Stator Switching
352,Guide for The Investigation of Constant-Level Oil Valves,Ed. 1,ULC,"September 01, 2004",,True,Guide,The Investigation of Constant-Level Oil Valves,Investigation of Constant-Level Oil Valves,Constant-Level Oil Valves,Investigation of Constant-Level Oil,Oil Valves,Investigation of Constant-Level
353,Standard for Limit Controls,Ed. 5,UL,"September 23, 1994",ulstd,True,Standard,Limit Controls,Limit Controls,Controls,Limit,,
355,Standard for Cord Reels,Ed. 10,UL,"June 25, 2004",ulstd,True,Standard,Cord Reels,Cord Reels,Reels,Cord,,
360,Standard for Liquid-Tight Flexible Metal Conduit,Ed. 7,UL,"January 17, 2013",ulstd,True,Standard,Liquid-Tight Flexible Metal Conduit,Liquid-Tight Flexible Metal Conduit,Flexible Metal Conduit,Liquid-Tight Flexible Metal,Metal Conduit,Flexible Metal
363,Knife Switches,Ed. 11,UL,"August 12, 2011",ulstd,True,,Knife Switches,Knife Switches,Switches,Knife,,
365,Standard for Police Station Connected Burglar Alarm Units And Systems,Ed. 5,UL,"January 31, 2018",ulstd,True,Standard,Police Station Connected Burglar Alarm Units And Systems,Station Connected Burglar Alarm Units,Police Station Connected Burglar Alarm,Burglar Alarm Units And Systems,Station Connected Burglar Alarm,Connected Burglar Alarm Units
372,Standard for Automatic Electrical Controls for Household And Similar Use – Part 2: Particular Requirements for Burner Ignition Systems And Components,Ed. 6,UL,"July 31, 2007",ulcsa,False,Standard,Automatic Electrical Controls for Household And Similar Use – Part 2: Particular Requirements for Burner Ignition Systems And Components,Burner Ignition Systems And Components,Requirements for Burner Ignition Systems,Automatic Electrical Controls for Household,Ignition Systems And Components,Electrical Controls for Household
378,Standard for Draft Equipment,Ed. 4,UL,"October 27, 2006",ulstd,True,Standard,Draft Equipment,Draft Equipment,Equipment,Draft,,
378,Guide for The Investigation of Draft Equipment,Ed. 1,ULC,"April 01, 1975",,True,Guide,The Investigation of Draft Equipment,Investigation of Draft Equipment,Draft Equipment,Investigation of Draft,Equipment,Investigation
379,"Power Units for Fountain, Swimming Pool, And Spa Luminaires",Ed. 1,UL,"June 19, 2013",ulstd,True,,"Power Units for Fountain, Swimming Pool, And Spa Luminaires",Power Units for Fountain,Swimming Pool,Units for Fountain,Spa Luminaires,Power Units
385,Standard for Play Pipes for Water Supply Testing In Fire Protection Service,Ed. 10,UL,"February 03, 2005",ulstd,True,Standard,Play Pipes for Water Supply Testing In Fire Protection Service,Testing In Fire Protection Service,Pipes for Water Supply Testing,Water Supply Testing In Fire,Supply Testing In Fire Protection,Play Pipes for Water Supply
386,Subject for Rolling Fire Door Replacement Part Program,Ed. 1,UL,"October 27, 2000",,True,,Subject for Rolling Fire Door Replacement Part Program,Fire Door Replacement Part Program,Rolling Fire Door Replacement Part,Door Replacement Part Program,Rolling Fire Door Replacement,Fire Door Replacement Part
386,Flame Detectors,Ed. 1,ULC,"September 01, 2004",,True,,Flame Detectors,Flame Detectors,Detectors,Flame,,
386,Flame Detectors,Ed. 2,ULC,"September 01, 2015",ord,True,,Flame Detectors,Flame Detectors,Detectors,Flame,,
391,Standard for Solid-Fuel And Combination-Fuel Central And Supplementary Furnaces,Ed. 5,UL,"September 10, 2010",ulstd,True,Standard,Solid-Fuel And Combination-Fuel Central And Supplementary Furnaces,Combination-Fuel Central And Supplementary Furnaces,Central And Supplementary Furnaces,Combination-Fuel Central And Supplementary,Solid-Fuel And Combination-Fuel Central,Supplementary Furnaces
393,Standard for Indicating Pressure Gauges for Fire-Protection Service,Ed. 8,UL,"March 17, 2005",ulstd,True,Standard,Indicating Pressure Gauges for Fire-Protection Service,Pressure Gauges for Fire-Protection Service,Indicating Pressure Gauges for Fire-Protection,Indicating Pressure Gauges,Gauges for Fire-Protection Service,Pressure Gauges for Fire-Protection
393,Indicating Pressure Gauges for Fire Protection Service,Ed. 1,ULC,"September 01, 2004",,True,,Indicating Pressure Gauges for Fire Protection Service,Gauges for Fire Protection Service,Pressure Gauges for Fire Protection,Indicating Pressure Gauges for Fire,Fire Protection Service,Pressure Gauges for Fire
395,Guide for The Investigation of Automotive Fuel Tanks,Ed. 1,ULC,"September 01, 2004",,True,Guide,The Investigation of Automotive Fuel Tanks,Investigation of Automotive Fuel Tanks,Automotive Fuel Tanks,Investigation of Automotive Fuel,Fuel Tanks,Investigation of Automotive
399,Standard for Drinking-Water Coolers,Ed. 8,UL,"March 30, 2017",ulstd,True,Standard,Drinking-Water Coolers,Drinking-Water Coolers,Coolers,Drinking-Water,,
401,Standard for Portable Spray Hose Nozzles for Fire-Protection Service,Ed. 5,UL,"October 16, 2014",ulstd,True,Standard,Portable Spray Hose Nozzles for Fire-Protection Service,Portable Spray Hose Nozzles,Hose Nozzles for Fire-Protection Service,Spray Hose Nozzles for Fire-Protection,Spray Hose Nozzles,Portable Spray Hose
402C,"Personal Flotation Devices - Part 3: Lifejackets, Performance Level 150 - Safety Requirements",Ed. 1,UL,"September 09, 2022",csdsproposal,True,,"Personal Flotation Devices - Part 3: Lifejackets, Performance Level 150 - Safety Requirements",Personal Flotation Devices,Performance Level,Safety Requirements,Flotation Devices,Personal Flotation
402E,Subject 402E,Ed. 1,UL,"August 31, 2012",,True,,Subject 402E,Subject,,,,
402F,Personal Flotation Devices - Part 6: Special Purpose Lifejackets And Buoyancy Aids - Safety Requirements And Additional Test Methods,Ed. 1,UL,"May 13, 2022",csdsproposal,True,,Personal Flotation Devices - Part 6: Special Purpose Lifejackets And Buoyancy Aids - Safety Requirements And Additional Test Methods,Special Purpose Lifejackets And Buoyancy,Safety Requirements And Additional Test,Purpose Lifejackets And Buoyancy Aids,Requirements And Additional Test Methods,Special Purpose Lifejackets
402I,Subject 402I,Ed. 1,UL,"August 31, 2012",,True,,Subject 402I,Subject,,,,
404,"Standard for Gauges, Indicating Pressure, for Compressed Gas Service",Ed. 8,UL,"October 08, 2010",ulstd,True,Standard,"Gauges, Indicating Pressure, for Compressed Gas Service",Compressed Gas Service,Indicating Pressure,Gas Service,Compressed Gas,Gauges
404,Pressure-Indicating Gauges for Compressed Gas Service / Manomètres Indicateurs De Pression Pour Le Service De Gaz Comprimé,Ed. 9,UL,"October 21, 2022",ululcanada,False,,Pressure-Indicating Gauges for Compressed Gas Service,Gauges for Compressed Gas Service,Pressure-Indicating Gauges for Compressed Gas,Compressed Gas Service,Gauges for Compressed Gas,Gas Service
404,Pressure-Indicating Gauges for Compressed Gas Service / Manomètres Indicateurs De Pression Pour Le Service De Gaz Comprimé,Ed. 9,ULC,"October 21, 2022",canulc,False,,Pressure-Indicating Gauges for Compressed Gas Service,Gauges for Compressed Gas Service,Pressure-Indicating Gauges for Compressed Gas,Compressed Gas Service,Gauges for Compressed Gas,Gas Service
405,Standard for Fire Department Connection Devices,Ed. 6,UL,"August 23, 2013",ulstd,True,Standard,Fire Department Connection Devices,Fire Department Connection Devices,Department Connection Devices,Fire Department Connection,Connection Devices,Department Connection
407,Ansi/Can/Ul/Ulc Manifolds for Compressed Gases / Collecteurs Pour Gaz Comprimés,Ed. 8,UL,"December 14, 2022",ulstd,False,,Ansi/Can/Ul/Ulc Manifolds for Compressed Gases,Ulc Manifolds for Compressed Gases,Ulc Manifolds for Compressed,Manifolds for Compressed Gases,Ulc Manifolds,Compressed Gases
407,Manifolds for Compressed Gases / Collecteurs Pour Gaz Comprimés,Ed. 8,ULC,"December 14, 2022",ululcanada,False,,Manifolds for Compressed Gases,Manifolds for Compressed Gases,Compressed Gases,Manifolds for Compressed,Gases,Compressed
410,Standard for Slip Resistance of Floor Surface Materials,Ed. 3,UL,"October 25, 2006",ulstd,True,Standard,Slip Resistance of Floor Surface Materials,Resistance of Floor Surface Materials,Slip Resistance of Floor Surface,Floor Surface Materials,Resistance of Floor Surface,Slip Resistance of Floor
412,Standard for Refrigeration Unit Coolers,Ed. 5,UL,"August 22, 2011",ulstd,True,Standard,Refrigeration Unit Coolers,Refrigeration Unit Coolers,Unit Coolers,Refrigeration Unit,Coolers,Unit
414,Standard for Meter Sockets,Ed. 9,UL,"January 05, 2016",ulstd,True,Standard,Meter Sockets,Meter Sockets,Sockets,Meter,,
416,Standard for Refrigerated Medical Equipment,Ed. 4,UL,"August 30, 1993",ulstd,True,Standard,Refrigerated Medical Equipment,Refrigerated Medical Equipment,Medical Equipment,Refrigerated Medical,Equipment,Medical
