Standard_Number,Description,Label,Catalog,Edition_Date,Type
508E,IEC Type '2' Coordination Short Circuit Tests of Electromechanical Motor Controllers in Accordance with IEC Publication 947-4-1,Ed. 3,UL,"November 15, 2006",outline
508I,Outline of Investigation for Disconnect Switches Intended for Use in Photovoltaic Systems,Ed. 2,UL,"December 18, 2015",outline
509,Outline of Investigation for Bus Drop Cable,Ed. 2,UL,"January 26, 2015",outline
510,"Polyvinyl Chloride, Polyethylene, and Rubber Insulating Tape / Rubans isolants de polychlorure de vinyle, de polyéthylène et de caoutchouc",Ed. 10,UL,"April 17, 2020",ulstd
510A,Component Tapes / Rubans pour composants,Ed. 2,UL,"April 17, 2020",ulstd
511,Standard for Lined Fire Hose for Interior Standpipes and Municipal and Industrial Fire-Protection Services,Ed. 5,ULC,"February 01, 2007",
511,STANDARD FOR LINED FIRE HOSE FOR INTERIOR STANDPIPES AND MUNICIPAL AND INDUSTRIAL FIRE PROTECTION SERVICES / NORME SUR LE TUYAU D'INCENDIE ENTOILÉ POUR CONDUITES D'INCENDIE INTÉRIEURES ET SERVICES MUNICIPAUX ET INDUSTRIELS DE PROTECTION INCENDIE,Ed. 6,ULC,"December 01, 2014",canulc
512,"Standard for Halogenated Agent Hand and Wheeled Fire Extinguishers / Norme relative aux extincteurs à produits halogénés, à main et sur roues",Ed. 1,ULC,"January 01, 2005",
513,STANDARD FOR THREADED COUPLINGS FOR 38 MM AND 65 MM FIRE HOSE / NORME SUR LES RACCORDS FILETÉS POUR TUYAUX D'INCENDIE DE 38 MM ET DE 65 MM,Ed. 2,ULC,"October 01, 2011",canulc
514,Dry Chemical for Use in Hand and Wheeled Fire Extinguishers,Ed. 1,ULC,"January 01, 1900",
514,Dry Chemical for Use in Hand and Wheeled Fire Extinguishers,Ed. 2,ULC,"April 01, 2007",
514,"STANDARD FOR DRY CHEMICAL FOR USE IN HAND AND WHEELED FIRE EXTINGUISHERS / NORME SUR LES POUDRES CHIMIQUES UTILISÉES DANS LES EXTINCTEURS, À MAIN ET SUR ROUES",Ed. 3,ULC,"August 01, 2014",canulc
514A,Metallic Outlet Boxes,Ed. 11,UL,"February 01, 2013",ulcsance
514B,"Conduit, Tubing, and Cable Fittings",Ed. 6,UL,"July 13, 2012",ulcsance
514C,"Standard for Nonmetallic Outlet Boxes, Flush-Device Boxes, and Covers",Ed. 4,UL,"April 08, 2014",ulstd
514D,Cover Plates for Flush-Mounted Wiring Devices,Ed. 2,UL,"June 28, 2013",ulcsa
515,Standard for Electrical Resistance Trace Heating for Commercial Applications,Ed. 2,UL,"July 17, 2015",ulstd
515,STANDARD FOR AUTOMOBILE FIRE FIGHTING APPARATUS / NORME SUR LES ENGINS AUTOMOBILES DE LUTTE CONTRE L'INCENDIE,Ed. 3,ULC,"March 01, 2013",canulc
515A,Outline of Investigation for Electrical Resistance Trace Heating and Associated Controls for Use In Sprinkler and Standpipe Systems,Ed. 2,UL,"April 24, 2019",outline
518,STANDARD FOR COTTON-SYNTHETIC NON-PERCOLATING FORESTRY HOSE / NORME SUR LE TUYAU FORESTIER NON PERMÉABLE EN COTON ET EN FIBRES SYNTHÉTIQUES,Ed. 2,ULC,"March 01, 2011",canulc
518.1,Standard for Synthetic Non-Percolating Forestry Hose,Ed. 1,ULC,"September 01, 1999",
518.1,SYNTHETIC NON-PERCOLATING FORESTRY HOSE / NORME SUR LE TUYAU FORESTIER NON PERMÉABLE EN FIBRES SYNTHÉTIQUES,Ed. 2,ULC,"March 01, 2011",canulc
519,STANDARD FOR COTTON-SYNTHETIC PERCOLATING FORESTRY HOSE / NORME SUR LE TUYAU FORESTIER PERMÉABLE EN COTON ET EN FIBRES SYNTHÉTIQUES,Ed. 2,ULC,"June 01, 2014",canulc
519.1,Standard for Synthetic Percolating Forestry Hose,Ed. 1,ULC,"January 01, 1999",
519.1,STANDARD FOR SYNTHETIC PERCOLATING FORESTRY HOSE / NORME SUR LE TUYAU FORESTIER PERMÉABLE EN FIBRES SYNTHÉTIQUES,Ed. 2,ULC,"June 01, 2014",canulc
520,STANDARD FOR FIRE HYDRANTS / NORME SUR LES POTEAUX D'INCENDIE,Ed. 3,ULC,"June 01, 2016",ulc
521,Standard for Heat Detectors for Fire Protective Signaling Systems,Ed. 7,UL,"February 19, 1999",ulstd
522,STANDARD FOR FIRE EXTINGUISHER AND BOOSTER HOSE / NORME RELATIVE AUX TUYAUX D'EXTINCTEUR ET DE DÉVIDOIR TOURNANT,Ed. 3,ULC,"November 30, 2022",canulc
523,Telephone Service Drop Wire,Ed. 2,UL,"November 27, 2006",outline
524,Standard For The Installation Of Fire Alarm Systems / NORME SUR L’INSTALLATION DES SYSTÈMES D’ALARME INCENDIE,Ed. 6,ULC,"July 01, 2014",ulc
524,STANDARD FOR INSTALLATION OF FIRE ALARM SYSTEMS / NORME SUR L'INSTALLATION DES SYSTÈMES D'ALARME D'INCENDIE,Ed. 7,ULC,"June 27, 2019",canulc
525,Standard for Flame Arresters,Ed. 6,UL,"April 10, 1996",
525,Standard for Flame Arresters,Ed. 8,UL,"May 09, 2008",ulstd
525,"Audible Signaling Devices for Fire Alarm and Signaling Systems, Including Accessories / Dispositifs de signalisation sonore des systèmes d’alarme incendie, y compris les accessoires",Ed. 4,ULC,"January 01, 2016",binat
525,"Audible Signaling Devices for Fire Alarm and Signaling Systems, Including Accessories / Dispositifs de signalisation sonore des systèmes d'alarme incendie, y compris les accessoires",Ed. 5,ULC,"April 28, 2023",binat
526,"VISIBLE SIGNALING DEVICES FOR FIRE ALARM AND SIGNALING SYSTEMS, INCLUDING ACCESSORIES / APPAREILS À SIGNAL VISUEL POUR SYSTÈMES D'ALARME INCENDIE, Y COMPRIS LES ACCESSOIRES",Ed. 4,ULC,"January 01, 2016",binat
526,"Visible Signaling Devices for Fire Alarm and Signaling Systems, Including Accessories / Appareils à signal visuel pour systèmes d’alarme incendie, y compris les accessoires",Ed. 4,ULC,"January 01, 2016",binat
526,"STANDARD FOR VISIBLE SIGNALING DEVICES FOR FIRE ALARM AND SIGNALING SYSTEMS, INCLUDING ACCESSORIES / NORME SUR LES APPAREILS À SIGNAL VISUEL POUR SYSTÈMES D'ALARME INCENDIE, Y COMPRIS LES ACCESSOIRES",Ed. 5,ULC,"April 27, 2023",binat
527,STANDARD LABORATORY GUIDE FOR CONTROL UNITS FOR FIRE ALARM SYSTEMS / NORME SUR LES POSTES DE CONTRÔLE POUR LES SYSTÈMES D'ALARME INCENDIE,Ed. 4,ULC,"April 05, 2019",canulc
528,"Manual Stations for Fire Alarm Systems, Including Accessories / Avertisseurs manuels d'incendie pour les systèmes d'alarme incendie, y compris les accessoires",Ed. 1,ULC,"September 01, 2004",
528,"STANDARD FOR MANUAL STATIONS FOR FIRE ALARM SYSTEMS, INCLUDING ACCESSORIES / AVERTISSEURS MANUELS D'INCENDIE POUR LES SYSTÈMES D'ALARME INCENDIE, Y COMPRIS LES ACCESSOIRES",Ed. 3,ULC,"October 01, 2014",canulc
529,STANDARD FOR SMOKE DETECTORS FOR FIRE ALARM SYSTEMS / NORME SUR LES DÉTECTEURS DE FUMÉE POUR LES SYSTÈMES D'ALARME D'INCENDIE,Ed. 4,ULC,"January 11, 2016",binat
529A,VIDEO IMAGE SMOKE DETECTION SYSTEM DEVICES,Ed. 1,ULC,"June 01, 2013",ord
530,STANDARD FOR HEAT ACTUATED FIRE DETECTORS FOR FIRE ALARM SYSTEMS / NORME SUR LES DÉTECTEURS D'INCENDIE AÉROTHERMIQUES POUR LES SYSTÈMES D'ALARME INCENDIE,Ed. 1,ULC,"May 01, 1991",canulc
531,Standard for Smoke-Alarms,Ed. 2,ULC,"October 01, 2002",
531,STANDARD FOR SMOKE ALARMS / NORME SUR LES AVERTISSEURS DE FUMÉE,Ed. 3,ULC,"February 01, 2014",canulc
531,STANDARD FOR SMOKE ALARMS / NORME SUR LES AVERTISSEURS DE FUMÉE,Ed. 4,ULC,"May 17, 2019",canulc
532,Réglementation de l’entretien et du rechargement des extincteurs à incendie portables / Réglementation de l’entretien et du rechargement des extincteurs à incendie portables,Ed. 2,ULC,"September 01, 2004",
532,Standard for the Regulation of the Servicing of Portable Fire Extinguishers,Ed. 3,ULC,"July 16, 2007",canulc
532,STANDARD FOR THE REGULATION OF THE SERVICING OF PORTABLE FIRE EXTINGUISHERS / RÉGLEMENTATION DE L'ENTRETIEN ET DU RECHARGEMENT DES EXTINCTEURS À INCENDIE PORTABLES,Ed. 3,ULC,"August 01, 2014",canulc
533,Standard For Egress Door Securing And Releasing Devices,Ed. 3,ULC,"July 01, 2008",
533,STANDARD FOR EGRESS DOOR SECURING AND RELEASING DEVICES / DISPOSITIFS DE FIXATION ET DE DÉBLOCAGE DE PORTE DE SORTIE,Ed. 4,ULC,"September 01, 2015",canulc
536,Flexible Metallic Hose / Tuyau flexible métallique,Ed. 11,UL,"August 09, 2021",ulcanada
536,Inspection and Testing of Fire Alarm Systems Inspection et mise à l'essai des réseaux avertisseurs d'incendie,Ed. 4,ULC,"June 01, 2004",
536,STANDARD FOR INSPECTION AND TESTING OF FIRE ALARM SYSTEMS / NORME SUR L'INSPECTION ET LA MISE À L'ESSAI DES RÉSEAUX AVERTISSEURS D'INCENDIE,Ed. 5,ULC,"October 01, 2013",canulc
536,STANDARD FOR INSPECTION AND TESTING OF FIRE ALARM SYSTEMS / NORME SUR L'INSPECTION ET LA MISE À L'ESSAI DES SYSTÈMES D'ALARME INCENDIE,Ed. 6,ULC,"August 01, 2019",canulc
537,Verification of Fire Alarm Systems Vérification des réseaux avertisseurs d'incendie,Ed. 4,ULC,"June 01, 2004",
537,STANDARD FOR VERIFICATION OF FIRE ALARM SYSTEMS / NORME LA VÉRIFICATION DES RÉSEAUX AVERTISSEURS D'INCENDIE,Ed. 5,ULC,"October 01, 2013",canulc
537,STANDARD FOR VERIFICATION OF FIRE ALARM SYSTEMS / NORME SUR LA VÉRIFICATION DES SYSTÈMES D'ALARME INCENDIE,Ed. 6,ULC,"August 01, 2019",canulc
538,STANDARD FOR SINGLE AND MULTIPLE STATION CARBON MONOXIDE ALARMS FOR NON-RESIDENTIAL APPLICATIONS / NORME SUR LES DÉTECTEURS DE MONOXYDE DE CARBONE À UN OU PLUSIEURS POSTES POUR LES APPLICATIONS NON RÉSIDENTIELLES,Ed. 1,ULC,"June 30, 2020",canulc
539,Single and Multiple Station Heat Alarms,Ed. 8,UL,"June 23, 2022",ululc
539,"Guide for the Investigation of Fire Alarm Devices, Single and Multiple Station, Mechanically-Operated Type",Ed. 1,ULC,"March 01, 2015",ord
540,Standard for the Installation of Residential Fire Warning Systems,Ed. 1,ULC,"April 01, 1986",
540,"STANDARD FOR RESIDENTIAL FIRE AND LIFE SAFETY WARNING SYSTEMS: INSTALLATION, INSPECTION, TESTING AND MAINTENANCE / NORME SUR LES SYSTÈMES D'ALARME INCENDIE RÉSIDENTIELS ET DE SÉCURITÉ DES PERSONNES : INSTALLATION, INSPECTION, MISE À L'ESSAI ET ENTRETIEN",Ed. 2,ULC,"March 01, 2013",ulc
541,Standard for Refrigerated Vending Machines,Ed. 9,UL,"April 21, 2016",ulstd
541,"Speakers for Fire Alarm and Signaling Systems, Including Accessories / Haut-parleurs pour réseaux avertisseurs d’incendie et systèmes de signalisation, y compris les accessoires",Ed. 4,ULC,"January 28, 2016",binat
542,Fluroescent Lamp Starters,Ed. 9,UL,"July 11, 2005",ulstd
543,STANDARD FOR INTERNAL LUG QUICK-CONNECT COUPLINGS FOR FIRE HOSE / NORME SUR LES RACCORDS RAPIDES À OREILLE INTERNE POUR TUYAUX D'INCENDIE,Ed. 2,ULC,"March 01, 2009",ulc
545,Residential Fire Warning Alarm Systems Control Units,Ed. 1,ULC,"July 01, 2002",
546,CONDUCTOR TERMINATION COMPOUNDS,Ed. 1,UL,"April 03, 2008",outline
548,Standard for Devices and Accessories for Water Type Extinguishing Systems,Ed. 3,ULC,"July 01, 2008",
548,STANDARD FOR DEVICES AND ACCESSORIES FOR WATER TYPE EXTINGUISHING SYSTEMS / NORME SUR LES DISPOSITIFS ET ACCESSOIRES POUR SYSTÈMES D'EXTINCTION À EAU,Ed. 4,ULC,"September 01, 2015",canulc
551,Standard for Transformer-Type Arc-Welding Machines,Ed. 8,UL,"April 24, 2009",ulstd
551,Standard For Forged External-Lug Quick-Connect Couplings And Adapters For Forestry Fire Hose,Ed. 1,ULC,"November 01, 1995",
551,STANDARD FOR FORGED EXTERNAL-LUG QUICK CONNECT COUPLINGS AND ADAPTORS FOR FORESTRY FIRE HOSE / NORME SUR LES ADAPTATEURS ET LES RACCORDEMENTS INSTANTANÉS À ERGOT EXTERNE FORGÉS POUR TUYAUX D'INCENDIE FORESTIERS,Ed. 3,ULC,"December 01, 2013",canulc
552,"STANDARD FOR INSPECTION, TESTING AND MAINTENANCE OF SMOKE ALARMS / NORME SUR L'INSPECTION, LA MISE À L'ESSAI ET L'ENTRETIEN DES AVERTISSEURS DE FUMÉE",Ed. 2,ULC,"February 01, 2014",canulc
553,Standard for the Installation of Smoke-Alarms (Superseded),Ed. 2,ULC,"July 01, 2002",
553,STANDARD FOR INSTALLATION OF SMOKE ALARMS / NORME SUR L'INSTALLATION DES AVERTISSEURS DE FUMÉE,Ed. 3,ULC,"February 01, 2014",canulc
554,Standard for Water Based Agent Fire Extinguishers / Extincteurs à agent à base d’eau,Ed. 3,ULC,"November 25, 2016",binat
555,Standard for Fire Dampers,Ed. 7,UL,"July 12, 2006",ulstd
555,STANDARD FOR FIRE AND EMERGENCY SERVICE TECHNICAL RESCUE ROPES AND WATER RESCUE THROW ROPES AND ASSOCIATED EQUIPMENT / NORME RELATIVE AUX CORDES DE SAUVETAGE TECHNIQUE ET AUX CORDES À LANCER DE SAUVETAGE NAUTIQUE ET AU MATÉRIEL CONNEXE DES SERVICES D'INCENDIE ET D'URGENCE,Ed. 3,ULC,"November 01, 2009",canulc
555C,Standard for Ceiling Dampers,Ed. 4,UL,"December 16, 2014",ulstd
555S,Standard for Smoke Dampers,Ed. 5,UL,"February 13, 2014",ulstd
557,Standard for Back-Pack Fire Extinguishers,Ed. 1,ULC,"September 01, 2004",
557,STANDARD FOR BACK-PACK FIRE EXTINGUISHERS,Ed. 2,ULC,"July 01, 2014",ulconly
558,"Standard for Industrial Trucks, Internal Combustion Engine-Powered",Ed. 9,UL,"June 28, 1996",
558,"Standard for Industrial Trucks, Internal Combustion Engine-Powered",Ed. 10,UL,"January 10, 2012",ulstd
558,Standard for External-Lug Quick-Connect Couplings and Adapters for Forestry Fire Hose,Ed. 1,ULC,"March 01, 2008",
558,STANDARD FOR EXTERNAL-LUG QUICK CONNECT COUPLINGS AND ADAPTORS FOR FORESTRY FIRE HOSE / NORME SUR LES ADAPTATEURS ET LES RACCORDEMENTS INSTANTANÉS À ERGOT EXTERNE POUR TUYAUX D’INCENDIE FORESTIERS,Ed. 2,ULC,"December 01, 2013",canulc
559,Equipment For Fire Signal Receiving Centres And Systems / Équipement Des Systèmes Et Des Centrales De Réception D'alarme Incendie,Ed. 1,ULC,"June 18, 2004",
559,STANDARD FOR EQUIPMENT FOR FIRE SIGNAL RECEIVING CENTRES AND SYSTEMS / NORME SUR ÉQUIPEMENT DES SYSTÈMES ET DES CENTRALES DE RÉCEPTION D'ALARME INCENDIE,Ed. 2,ULC,"January 01, 2013",canulc
559,STANDARD FOR EQUIPMENT FOR FIRE SIGNAL RECEIVING CENTRES AND SYSTEMS / NORMES SUR L'ÉQUIPEMENT DES SYSTÈMES ET DES CENTRALES DE RÉCEPTION D'ALARME INCENDIE,Ed. 3,ULC,"October 22, 2020",canulc
560,STANDARD FOR HIGH-PERFORMANCE AND AVIATION FOAM LIQUID CONCENTRATES / NORME SUR LES CONCENTRÉS LIQUIDES DE MOUSSE HAUTE PERFORMANCE ET POUR L'AÉRONAUTIQUE,Ed. 3,ULC,"May 25, 2021",ulc
561,Standard for Floor-Finishing Machines,Ed. 7,UL,"October 31, 2011",ulstd
561,STANDARD FOR INSTALLATION AND SERVICES FOR FIRE SIGNAL RECEIVING CENTRES AND SYSTEMS / NORME SUR L'INSTALLATION ET LES SERVICES - SYSTÈMES ET CENTRALES DE RÉCEPTION D'ALARME D'INCENDIE,Ed. 2,ULC,"March 01, 2013",canulc
561,STANDARD FOR INSTALLATION AND SERVICES FOR FIRE SIGNAL RECEIVING CENTRES AND SYSTEMS / NORME SUR L'INSTALLATION ET LES SERVICES - SYSTÈMES ET CENTRALES DE RÉCEPTION D'ALARME INCENDIE,Ed. 3,ULC,"June 01, 2020",ulc
563,Standard for Ice Makers,Ed. 8,UL,"July 31, 2009",ulstd
563,Standard for Category 3 Film-Forming Fluoroprotein (FFFP) Foam Liquid Concentrates / Standard for Category 3 Film-Forming Fluoroprotein (FFFP) Foam Liquid Concentrates,Ed. 2,ULC,"April 01, 2006",canulc
563,STANDARD FOR HIGH-PERFORMANCE AND AVIATION SYNTHETIC FLUORINE-FREE FOAM LIQUID CONCENTRATES / NORME SUR LES CONCENTRÉS LIQUIDES DE MOUSSE SYNTHÉTIQUE SANS FLUOR HAUTE PERFORMANCE ET POUR L'AÉRONAUTIQUE,Ed. 3,ULC,"September 26, 2022",
564,Standard for Categories 1 and 2 Foam Liquid Concentrates,Ed. 2,ULC,"April 01, 2006",ulc
565,Standard for Liquid-Level Gauges for Anhydrous Ammonia and LP-Gas,Ed. 6,UL,"September 13, 2013",ulstd
566,STANDARD FOR HALOCARBON CLEAN AGENT FIRE EXTINGUISHERS / NORME SUR LES EXTINCTEURS AUX AGENTS PROPRES À L'HALOCARBURE,Ed. 2,ULC,"January 05, 2017",binat
567,"ANSI/CAN/UL/ULC Emergency Breakaway Fittings, Swivel Connectors and Pipe-Connection Fittings for Petroleum Products and LP-Gas / Raccords à rupture d'urgence, les raccords pivotants et les raccords de tuyau pour les produits pétroliers et le propane",Ed. 11,UL,"January 29, 2021",ulstd
567,"Emergency Breakaway Fittings, Swivel Connectors and Pipe-Connection Fittings for Petroleum Products and LP-Gas / Norme sur les raccords à rupture d’urgence, les raccords pivotants et les raccords de tuyau pour les produits pétroliers et le propane",Ed. 11,ULC,"January 29, 2021",canulc
567A,"Standard for Emergency Breakaway Fittings, Swivel Connectors and Pipe-Connection Fittings for Gasoline and Gasoline/Ethanol Blends with Nominal Ethanol Concentrations up to 85 Percent (E0 - E85)",Ed. 1,UL,"March 05, 2015",ulstd
567B,"Emergency Breakaway Fittings, Swivel Connectors and Pipe-Connection Fittings for Diesel Fuel, Biodiesel Fuel, Diesel/Biodiesel Blends with Nominal Biodiesel Concentrations up to 20 Percent (B20), Kerosene, and Fuel Oil",Ed. 1,UL,"March 05, 2015",ulstd
568,Nonmetallic Cable Tray Systems,Ed. 1,UL,"October 15, 2002",ulcsa
569,Standard for Pigtails and Flexible Hose Connectors for LP-Gas,Ed. 8,UL,"November 19, 2013",ulstd
572,STANDARD FOR PHOTOLUMINESCENT AND SELF-LUMINOUS EXIT SIGNS AND PATH MARKING SYSTEMS,Ed. 1,ULC,"November 30, 2010",
572,STANDARD FOR PHOTOLUMINESCENT AND SELF-LUMINOUS EXIT SIGNS AND PATH MARKING SYSTEMS / NORME SUR LES PANNEAUX DE SIGNALISATION D,Ed. 2,ULC,"February 01, 2017",
573,STANDARD FOR INSTALLATION OF ANCILLARY DEVICES CONNECTED TO FIRE ALARM SYSTEMS / NORME SUR L'INSTALLATION DES DISPOSITIFS AUXILIAIRES BRANCHÉS AUX SYSTÈMES D'ALARME INCENDIE,Ed. 1,ULC,"December 28, 2018",ulc
574,Standard for Electric Oil Heaters,Ed. 8,UL,"August 14, 2003",ulstd
574,STANDARD FOR FORGED 65 mm (2 1/2 in) EXTERNAL-LUG QUICK-CONNECT COUPLINGS AND ADAPTERS FOR FORESTRY FIRE HOSE / NORME SUR LES ADAPTATEURS ET LES RACCORDEMENTS INSTANTANÉS À ERGOT EXTERNE FORGÉS DE 65 mm (2 1/2 po) POUR TUYAUX D'INCENDIE FORESTIERS,Ed. 1,ULC,"December 01, 2013",canulc
576,STANDARD FOR MASS NOTIFICATION SYSTEM EQUIPMENT AND ACCESSORIES / NORME SUR L'ÉQUIPEMENT ET LES ACCESSOIRES DES SYSTÈMES DE NOTIFICATION DE MASSE,Ed. 2,ULC,"September 24, 2019",
580,Standard for Tests for Uplift Resistance of Roof Assemblies,Ed. 5,UL,"November 02, 2006",ulstd
583,Electric-Battery-Powered Industrial Trucks / Camions industriels électrique à batterie,Ed. 11,UL,"December 15, 2022",ulstd
583,Guide for the Investigation of Electric Battery Powered Industrial Trucks,Ed. 1,ULC,"February 01, 1974",
586,"Standard for High-Efficiency, Particulate, Air Filter Units",Ed. 9,UL,"August 14, 2009",ulstd
588,Standard for Seasonal and Holiday Decorative Products,Ed. 19,UL,"October 26, 2015",ulstd
588,"STANDARD FOR GAS AND VAPOUR DETECTORS AND SENSORS, INCLUDING ACCESSORIES / NORME SUR LES DÉTECTEURS ET CAPTEURS DE GAZ ET DE VAPEUR, Y COMPRIS LES ACCESSOIRES",Ed. 1,ULC,"April 01, 2017",ulc
589,STANDARD FOR SINGLE AND MULTIPLE STATION HEAT ALARMS / NORME POUR LES ALARMES DE CHALEUR À UNE ET PLUSIEURS STATIONS,Ed. 1,ULC,"June 23, 2022",binat
590,"Standard for Design, Installation, Inspection, Testing and Maintenance of Safety Way Guidance System / Norme sur la conception, l'installation, l'inspection, la mise à l'essai et l'entretien de systèmes de signalisation de sécurité",Ed. 1,ULC,"May 31, 2019",canulc
593,STANDARD FOR THE SERVICING OF HALON AND CLEAN AGENT EXTINGUISHING SYSTEMS / NORME D'ENTRETIEN DES SYSTÈMES D'EXTINCTION AU HALON OU À AGENT HALOCARBONÉ PROPRE,Ed. 1,ULC,"December 01, 2021",canulc
594,STANDARD FOR THE SERVICING OF COMMERCIAL COOKING AREA EXTINGUISHING SYSTEMS / NORME D'ENTRETIEN DES SYSTÈMES D'EXTINCTION DES AIRES DE CUISSON COMMERCIALES,Ed. 1,ULC,"December 01, 2021",canulc
601,Standard for Shop Fabricated Steel Aboveground Horizontal Tanks for Flammable and Combustible Liquids Norme sur les réservoirs hors sol en acier fabriqués en usine pour liquides inflammables et combustibles,Ed. 4,ULC,"December 31, 2007",
601,STANDARD FOR SHOP FABRICATED STEEL ABOVEGROUND TANKS FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES RÉSERVOIRS HORS SOL EN ACIER FABRIQUÉS EN USINE POUR LIQUIDES INFLAMMABLES ET COMBUSTIBLES,Ed. 5,ULC,"May 01, 2014",canulc
602,Standard for Aboveground Steel Tanks for Fuel Oil and Lubricating Oil Norme sur les réservoirs en acier non enterrés pour le mazout et l’huile lubrifiante,Ed. 5,ULC,"September 30, 2007",
602,STANDARD FOR ABOVEGROUND STEEL TANKS FOR FUEL OIL AND LUBRICATING OIL / NORME SUR LES RÉSERVOIRS EN ACIER NON ENTERRÉS POUR LE MAZOUT ET L'HUILE LUBRIFIANTE,Ed. 6,ULC,"October 01, 2014",canulc
602,STANDARD FOR ABOVEGROUND STEEL TANKS FOR FUEL OIL AND LUBRICATING OIL / NORME SUR LES RÉSERVOIRS EN ACIER NON ENTERRÉS POUR LE MAZOUT ET L'HUILE LUBRIFIANTE,Ed. 6,ULC,"October 01, 2014",canulc
603,Standard for Power Supplies for Use with Burglar-Alarm Systems,Ed. 5,UL,"February 18, 2008",ulstd
603,STANDARD FOR STEEL UNDERGROUND TANKS FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES RÉSERVOIRS SOUTERRAINS EN ACIER POUR LES LIQUIDES INFLAMMABLES ET COMBUSTIBLES,Ed. 4,ULC,"October 01, 2014",canulc
603.1,External Corrosion Protection Systems for Steel Underground Tanks for Flammable and Combustible Liquids,Ed. 4,ULC,"August 01, 2011",canulc
603.1,STANDARD FOR EXTERNAL CORROSION PROTECTION SYSTEMS FOR STEEL UNDERGROUND TANKS FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES SYSTÈMES DE PROTECTION CONTRE LA CORROSION EXTÉRIEURE DES RÉSERVOIRS ENTERRÉS EN ACIER POUR LES LIQUIDES INFLAMMABLES ET COMBUSTIBLES,Ed. 5,ULC,"February 01, 2017",ulc
604,STANDARD FOR FACTORY-BUILT TYPE A CHIMNEYS / NORME SUR LES CHEMINÉES PRÉFABRIQUÉES DE TYPE A,Ed. 5,ULC,"April 07, 2022",ulc
605,Subject for Portable Extinguishers,Ed. 1,UL,"April 15, 2004",
605,STANDARD FOR GAS VENTS / NORME SUR LES CONDUITS D'ÉVACUATION À GAZ,Ed. 5,ULC,"April 07, 2022",ulc
606,Standard for Linings and Screens for Use with Burglar-Alarm Systems,Ed. 4,UL,"November 19, 1999",ulstd
608,Standard for Burglary Resistant Vault Doors and Modular Panels,Ed. 7,UL,"November 30, 2004",ulstd
609,Standard for Local Burglar Alarm Units and Systems,Ed. 12,UL,"March 09, 2018",ulstd
609,STANDARD FOR LOW TEMPERATURE VENTS TYPE L AND PL / NORME SUR LES CONDUITS D'ÉVACUATION À BASSE TEMPÉRATURE DE TYPES L ET PL,Ed. 3,ULC,"April 07, 2022",ulc
610,STANDARD FOR FACTORY-BUILT FIREPLACE SYSTEMS / NORME SUR LES SYSTÈMES FOYERS À FEU OUVERT PRÉFABRIQUÉ,Ed. 2,ULC,"July 01, 2018",canulc
612,STANDARD FOR HOSE AND HOSE ASSEMBLIES FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES TUYAUX FLEXIBLES ET TUYAUX FLEXIBLES À RACCORDS POUR LIQUIDES INFLAMMABLES ET COMBUSTIBLES,Ed. 5,ULC,"April 01, 2016",canulc
615,STANDARD FOR FIBRE REINFORCED PLASTIC UNDERGROUND TANKS FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES RÉSERVOIRS EN PLASTIQUE RENFORCÉ SOUTERRAINS POUR LES LIQUIDES INFLAMMABLES ET COMBUSTIBLES,Ed. 3,ULC,"October 01, 2014",
618,Standard for Concrete Masonry Units,Ed. 9,UL,"February 27, 1995",ulstd
620,STANDARD FOR HOSE NOZZLE VALVES FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES PISTOLETS POUR LIQUIDES INFLAMMABLES ET COMBUSTIBLES,Ed. 4,ULC,"January 01, 2016",canulc
621,Standard for Ice Cream Makers,Ed. 7,UL,"May 07, 2010",ulstd
626,Water Fire Extinguishers,Ed. 8,UL,"February 28, 2005",ululc
627,Standard for Space Heaters for Use with Solid Fuels,Ed. 3,ULC,"June 01, 2000",
627,STANDARD FOR SPACE HEATERS FOR USE WITH SOLID FUELS / NORME POUR LES POÊLES À UTILISER AVEC DES COMBUSTIBLES SOLIDES,Ed. 4,ULC,"May 13, 2021",ulc
628,STANDARD FOR FIREPLACE INSERTS AND HEARTH-MOUNTED STOVES / NORME SUR LES FOYERS ENCASTRABLES ET LES POÊLES SUR SOCLE,Ed. 4,ULC,"April 07, 2022",ulc
629,STANDARD FOR 650 °C FACTORY- BUILT CHIMNEYS / NORME SUR LES CHEMINÉES PREFABRIQUÉES POUR DES TEMPÉRATURES N’EXCÉDENT PAS 650 °C,Ed. 3,ULC,"December 01, 2016",canulc
629,STANDARD FOR 650 °C FACTORY-BUILT CHIMNEYS / NORME SUR LES CHEMINÉES PREFABRIQUÉES POUR DES TEMPÉRATURES N'EXCÉDENT PAS 650 °C,Ed. 4,ULC,"April 07, 2022",ulc
632,Standard for Heat Shields,Ed. 1,ULC,"February 22, 2016",
632,STANDARD FOR HEAT SHIELDS / NORME SUR LES ÉCRANS THERMIQUES,Ed. 3,ULC,"March 29, 2019",canulc
